-48.438,-48.438,0.16517
-48.438,-46.875,0.0051442
-48.438,-45.313,-0.16053
-48.438,-43.75,-0.20146
-48.438,-42.188,-0.25329
-48.438,-40.625,-0.15461
-48.438,-39.063,-0.18731
-48.438,-37.5,-0.15353
-48.438,-35.938,0.0032967
-48.438,-34.375,0.024904
-48.438,-32.813,-0.080693
-48.438,-31.25,-0.14241
-48.438,-29.688,-0.13474
-48.438,-28.125,-0.20502
-48.438,-26.563,-0.31914
-48.438,-25,-0.40208
-48.438,-23.438,-0.46012
-48.438,-21.875,-0.51372
-48.438,-20.313,-0.51789
-48.438,-18.75,-0.46705
-48.438,-17.188,-0.48571
-48.438,-15.625,-0.33895
-48.438,-14.063,-0.32403
-48.438,-12.5,-0.27306
-48.438,-10.938,-0.30579
-48.438,-9.375,-0.22447
-48.438,-7.8125,-0.15117
-48.438,-6.25,-0.19761
-48.438,-4.6875,-0.17187
-48.438,-3.125,-0.204
-48.438,-1.5625,-0.34712
-48.438,0,-0.4643
-48.438,1.5625,-0.38058
-48.438,3.125,-0.11829
-48.438,4.6875,0.085204
-48.438,6.25,0.13591
-48.438,7.8125,0.20753
-48.438,9.375,0.33784
-48.438,10.938,0.38626
-48.438,12.5,0.3627
-48.438,14.063,0.2629
-48.438,15.625,0.10083
-48.438,17.188,-0.078209
-48.438,18.75,-0.19079
-48.438,20.313,-0.22219
-48.438,21.875,-0.27043
-48.438,23.438,-0.25494
-48.438,25,-0.25352
-48.438,26.563,-0.30057
-48.438,28.125,-0.33261
-48.438,29.688,-0.23712
-48.438,31.25,-0.20942
-48.438,32.813,-0.12541
-48.438,34.375,-0.092994
-48.438,35.938,-0.030649
-48.438,37.5,0.05413
-48.438,39.063,0.18686
-48.438,40.625,0.44596
-48.438,42.188,0.50072
-48.438,43.75,0.48459
-48.438,45.313,0.4519
-48.438,46.875,0.43422
-48.438,48.438,0.47092
-48.438,50,0.33957
-46.875,-48.438,0.14063
-46.875,-46.875,0.079722
-46.875,-45.313,0.10016
