1.5625,1.5625,-0.00018401
3.125,1.5625,4.6235*10^-5
4.6875,1.5625,-0.00022623
6.25,1.5625,-0.00021636
7.8125,1.5625,0.00098737
9.375,1.5625,0.00098719
10.938,1.5625,-0.0014791
12.5,1.5625,0.00075044
14.063,1.5625,-0.001484
15.625,1.5625,0.0017229
17.188,1.5625,0.00046603
18.75,1.5625,-1.6424*10^-5
20.313,1.5625,0.00060564
21.875,1.5625,-0.00019667
23.438,1.5625,4.0736*10^-5
25,1.5625,0.00067845
26.563,1.5625,0.00046444
28.125,1.5625,-0.0011463
29.688,1.5625,0.00062555
31.25,1.5625,-1.711*10^-5
32.813,1.5625,0.00082255
34.375,1.5625,8.8079*10^-5
35.938,1.5625,-0.00020114
37.5,1.5625,-0.00082199
39.063,1.5625,8.6435*10^-5
40.625,1.5625,-0.0015257
42.188,1.5625,-0.001699
43.75,1.5625,-0.00025629
45.313,1.5625,0.0025408
46.875,1.5625,-1.3824*10^-5
48.438,1.5625,-0.0017182
50,1.5625,0.0015856
51.563,1.5625,0.0011246
53.125,1.5625,0.00018591
54.688,1.5625,0
56.25,1.5625,0
57.813,1.5625,0.0012662
59.375,1.5625,0.00080409
60.938,1.5625,-0.001126
62.5,1.5625,0.00064248
64.063,1.5625,0.00088407
65.625,1.5625,0.0026093
67.188,1.5625,0.0016943
68.75,1.5625,0.0013095
70.313,1.5625,-0.00094736
71.875,1.5625,0.0010244
73.438,1.5625,0.0004378
75,1.5625,-0.00038365
76.563,1.5625,-0.0009568
78.125,1.5625,-0.0010204
79.688,1.5625,-0.00059366
81.25,1.5625,8.2355*10^-5
82.813,1.5625,-6.4316*10^-5
84.375,1.5625,0.00046534
85.938,1.5625,-0.0013418
87.5,1.5625,-0.00052107
89.063,1.5625,0.00029045
90.625,1.5625,-0.00034111
92.188,1.5625,0.0016392
93.75,1.5625,-0.00023393
95.313,1.5625,-0.00085997
96.875,1.5625,-0.00036514
98.438,1.5625,0.0013276
100,1.5625,0.00088313
1.5625,3.125,-0.00018401
3.125,3.125,4.6235*10^-5
4.6875,3.125,-0.00022623
6.25,3.125,-0.00021636
7.8125,3.125,0.00098737
9.375,3.125,0.00098719
10.938,3.125,-0.0014791
12.5,3.125,0.00075044
14.063,3.125,-0.001484
15.625,3.125,0.0017229
17.188,3.125,0.00046603
18.75,3.125,-1.6424*10^-5
20.313,3.125,0.00060564
21.875,3.125,-0.00019667
23.438,3.125,4.0736*10^-5
25,3.125,0.00067845
26.563,3.125,0.00046444
28.125,3.125,-0.0011463
29.688,3.125,0.00062555
31.25,3.125,-1.711*10^-5
32.813,3.125,0.00082255
34.375,3.125,8.8079*10^-5
35.938,3.125,-0.00020114
37.5,3.125,-0.00082199
39.063,3.125,8.6435*10^-5
40.625,3.125,-0.0015257
42.188,3.125,-0.001699
43.75,3.125,-0.00025629
45.313,3.125,0.0025408
46.875,3.125,-1.3824*10^-5
48.438,3.125,-0.0017182
50,3.125,0.0015856
51.563,3.125,0.0011246
53.125,3.125,0.00018591
54.688,3.125,0
56.25,3.125,0
57.813,3.125,0.0012662
59.375,3.125,0.00080409
60.938,3.125,-0.001126
62.5,3.125,0.00064248
64.063,3.125,0.00088407
65.625,3.125,0.0026093
67.188,3.125,0.0016943
68.75,3.125,0.0013095
70.313,3.125,-0.00094736
71.875,3.125,0.0010244
73.438,3.125,0.0004378
75,3.125,-0.00038365
76.563,3.125,-0.0009568
78.125,3.125,-0.0010204
79.688,3.125,-0.00059366
81.25,3.125,8.2355*10^-5
82.813,3.125,-6.4316*10^-5
84.375,3.125,0.00046534
85.938,3.125,-0.0013418
87.5,3.125,-0.00052107
89.063,3.125,0.00029045
90.625,3.125,-0.00034111
92.188,3.125,0.0016392
93.75,3.125,-0.00023393
95.313,3.125,-0.00085997
96.875,3.125,-0.00036514
98.438,3.125,0.0013276
100,3.125,0.00088313
1.5625,4.6875,-0.00018401
3.125,4.6875,4.6235*10^-5
4.6875,4.6875,-0.00022623
6.25,4.6875,-0.00021636
7.8125,4.6875,0.00098737
9.375,4.6875,0.00098719
10.938,4.6875,-0.0014791
12.5,4.6875,0.00075044
14.063,4.6875,-0.001484
15.625,4.6875,0.0017229
17.188,4.6875,0.00046603
18.75,4.6875,-1.6424*10^-5
20.313,4.6875,0.00060564
21.875,4.6875,-0.00019667
23.438,4.6875,4.0736*10^-5
25,4.6875,0.00067845
26.563,4.6875,0.00046444
28.125,4.6875,-0.0011463
29.688,4.6875,0.00062555
31.25,4.6875,-1.711*10^-5
32.813,4.6875,0.00082255
34.375,4.6875,8.8079*10^-5
35.938,4.6875,-0.00020114
37.5,4.6875,-0.00082199
39.063,4.6875,8.6435*10^-5
40.625,4.6875,-0.0015257
42.188,4.6875,-0.001699
43.75,4.6875,-0.00025629
45.313,4.6875,0.0025408
46.875,4.6875,-1.3824*10^-5
48.438,4.6875,-0.0017182
50,4.6875,0.0015856
51.563,4.6875,0.0011246
53.125,4.6875,0.00018591
54.688,4.6875,0
56.25,4.6875,0
57.813,4.6875,0.0012662
59.375,4.6875,0.00080409
60.938,4.6875,-0.001126
62.5,4.6875,0.00064248
64.063,4.6875,0.00088407
65.625,4.6875,0.0026093
67.188,4.6875,0.0016943
68.75,4.6875,0.0013095
70.313,4.6875,-0.00094736
71.875,4.6875,0.0010244
73.438,4.6875,0.0004378
75,4.6875,-0.00038365
76.563,4.6875,-0.0009568
78.125,4.6875,-0.0010204
79.688,4.6875,-0.00059366
81.25,4.6875,8.2355*10^-5
82.813,4.6875,-6.4316*10^-5
84.375,4.6875,0.00046534
85.938,4.6875,-0.0013418
87.5,4.6875,-0.00052107
89.063,4.6875,0.00029045
90.625,4.6875,-0.00034111
92.188,4.6875,0.0016392
93.75,4.6875,-0.00023393
95.313,4.6875,-0.00085997
96.875,4.6875,-0.00036514
98.438,4.6875,0.0013276
100,4.6875,0.00088313
1.5625,6.25,-0.00018401
3.125,6.25,4.6235*10^-5
4.6875,6.25,-0.00022623
6.25,6.25,-0.00021636
7.8125,6.25,0.00098737
9.375,6.25,0.00098719
10.938,6.25,-0.0014791
12.5,6.25,0.00075044
14.063,6.25,-0.001484
15.625,6.25,0.0017229
17.188,6.25,0.00046603
18.75,6.25,-1.6424*10^-5
20.313,6.25,0.00060564
21.875,6.25,-0.00019667
23.438,6.25,4.0736*10^-5
25,6.25,0.00067845
26.563,6.25,0.00046444
28.125,6.25,-0.0011463
29.688,6.25,0.00062555
